utility_name,respondent_id,year,customer_id,customer_name,customers,sales,revenues
Appalachian Power Co.,6,2019,5,rate_refunds,3882,,-10383762
Appalachian Power Co.,6,2019,6,residential,806338,11253416,1272324395
Appalachian Power Co.,6,2019,1,sales_for_resale,3882,5820714,284420338
Appalachian Power Co.,6,2018,2,commercial,136230,6603082,598364945
Appalachian Power Co.,6,2018,3,industrial,4102,9555025,618834668
Appalachian Power Co.,6,2018,8,public_authorities,6159,802083,71403303
Appalachian Power Co.,6,2018,4,public_street_and_highway_lighting,1683,64436,8098793
Appalachian Power Co.,6,2018,5,rate_refunds,3882,,-103328445
Appalachian Power Co.,6,2018,6,residential,807404,11870052,1372004650
Appalachian Power Co.,6,2018,1,sales_for_resale,31,5961450,298414263
Appalachian Power Co.,6,2017,2,commercial,135371,6452670,586040545
Appalachian Power Co.,6,2017,3,industrial,4119,9603041,639023295
Appalachian Power Co.,6,2017,8,public_authorities,6108,771703,69821093
Appalachian Power Co.,6,2017,4,public_street_and_highway_lighting,1693,64747,8197910
Appalachian Power Co.,6,2017,5,rate_refunds,3882,,-12774212
Appalachian Power Co.,6,2017,6,residential,808570,10700874,1242766222
Appalachian Power Co.,6,2017,1,sales_for_resale,24,6008360,288636483
Appalachian Power Co.,6,2016,2,commercial,134663,6750517,603003129
Appalachian Power Co.,6,2016,3,industrial,4158,9409909,628998688
Appalachian Power Co.,6,2016,8,public_authorities,5965,791476,72368524
Appalachian Power Co.,6,2016,4,public_street_and_highway_lighting,1709,65278,8104466
Appalachian Power Co.,6,2016,5,rate_refunds,3882,,-4261892
Appalachian Power Co.,6,2016,6,residential,810223,11421059,1314777677
Appalachian Power Co.,6,2016,1,sales_for_resale,36,6424581,299088791
Appalachian Power Co.,6,2015,2,commercial,134106,6721110,584597792
Appalachian Power Co.,6,2015,3,industrial,4210,9866029,657135986
Appalachian Power Co.,6,2015,8,public_authorities,5814,775068,71279255
Appalachian Power Co.,6,2015,4,public_street_and_highway_lighting,1735,66075,8165357
Appalachian Power Co.,6,2015,5,rate_refunds,3882,,25152265
Appalachian Power Co.,6,2015,6,residential,810741,11494884,1228342473
Appalachian Power Co.,6,2015,1,sales_for_resale,49,5924412,320399465
Appalachian Power Co.,6,2014,2,commercial,133737,6829432,585929632
Appalachian Power Co.,6,2014,3,industrial,4275,10314024,690494554
Appalachian Power Co.,6,2014,8,public_authorities,5807,791980,74209178
Appalachian Power Co.,6,2014,4,public_street_and_highway_lighting,1740,64645,8274493
Appalachian Power Co.,6,2014,5,rate_refunds,3882,,-6085380
Appalachian Power Co.,6,2014,6,residential,812470,12182930,1257272879
Appalachian Power Co.,6,2014,1,sales_for_resale,64,5586347,371205928
Appalachian Power Co.,6,2013,2,commercial,133515,6827700,583834795
Appalachian Power Co.,6,2013,3,industrial,4293,10392880,697135926
Appalachian Power Co.,6,2013,8,public_authorities,5719,769522,68926230
Appalachian Power Co.,6,2013,4,public_street_and_highway_lighting,1761,65384,8256242
Appalachian Power Co.,6,2013,6,residential,814014,11914183,1219648605
Appalachian Power Co.,6,2013,1,sales_for_resale,87,17626860,762420290
Appalachian Power Co.,6,2012,2,commercial,133262,6793922,576152825
Appalachian Power Co.,6,2012,3,industrial,4321,10777512,701655926
Appalachian Power Co.,6,2012,8,public_authorities,5580,752704,64364194
Appalachian Power Co.,6,2012,4,public_street_and_highway_lighting,1792,67121,8090529
Appalachian Power Co.,6,2012,6,residential,815221,11394621,1159576056
Appalachian Power Co.,6,2012,1,sales_for_resale,102,15894539,683577626
Appalachian Power Co.,6,2011,2,commercial,132832,6914576,535040005
Appalachian Power Co.,6,2011,3,industrial,4347,10811261,638913347
Appalachian Power Co.,6,2011,8,public_authorities,5581,761999,57073772
Appalachian Power Co.,6,2011,4,public_street_and_highway_lighting,1808,66428,7667062
Appalachian Power Co.,6,2011,6,residential,816561,12010960,1107199462
Appalachian Power Co.,6,2011,1,sales_for_resale,119,16963470,794147060
Appalachian Power Co.,6,2010,2,commercial,132206,7208343,559717482
Appalachian Power Co.,6,2010,3,industrial,4362,10774128,653832279
Appalachian Power Co.,6,2010,8,public_authorities,5507,799670,66310112
Appalachian Power Co.,6,2010,4,public_street_and_highway_lighting,1797,68973,8021141
Appalachian Power Co.,6,2010,5,rate_refunds,3882,,4146627
Appalachian Power Co.,6,2010,6,residential,817357,13127049,1221563069
Appalachian Power Co.,6,2010,1,sales_for_resale,107,15693646,793302719
Appalachian Power Co.,6,2009,2,commercial,131312,6974009,493297141
Appalachian Power Co.,6,2009,3,industrial,4401,10387597,598683889
Appalachian Power Co.,6,2009,8,public_authorities,5401,765739,60719895
Appalachian Power Co.,6,2009,4,public_street_and_highway_lighting,1790,69254,7403537
Appalachian Power Co.,6,2009,5,rate_refunds,3882,,197355
Appalachian Power Co.,6,2009,6,residential,816910,12217870,1022941973
